[20:02:19] start results/CTOC14_Result_TEAM.txt sc9: m0 1024.14, fuel 416.64, flybys 21
[20:02:27]   it   0: fuel  414.97 kg, max miss     1276.3 km, median    600.2, rho      150, acc a=0.05 (6.4 s)
[20:02:32] start results/CTOC14_Result_TEAM.txt sc9: m0 1024.14, fuel 416.64, flybys 21
[20:02:40]   it   0: fuel  414.97 kg, max miss     1276.3 km, median    600.2, rho      150, acc a=0.05 (6.2 s)
[20:02:42]   it   1: fuel  412.55 kg, max miss     3640.4 km, median   1679.1, rho      105, acc a=0.10 (2.5 s)
[20:02:46]   it   2: fuel  410.47 kg, max miss     5387.5 km, median   2546.8, rho      158, acc a=0.07 (3.9 s)
[20:02:49]   it   3: fuel  407.49 kg, max miss     8594.7 km, median   3993.9, rho      110, acc a=0.13 (2.8 s)
[20:02:56]   it   4: fuel  404.97 kg, max miss    10984.6 km, median   5188.2, rho      165, acc a=0.09 (7.1 s)
[20:02:58]   it   5: fuel  401.38 kg, max miss    15192.2 km, median   7199.2, rho      116, acc a=0.18 (2.3 s)
[20:03:03]   it   6: fuel  398.38 kg, max miss    18377.6 km, median   8356.0, rho      174, acc a=0.12 (4.4 s)
[20:03:05]   it   7: fuel  394.15 kg, max miss    23767.4 km, median  10606.0, rho      122, acc a=0.24 (2.8 s)
[20:03:10]   it   8: fuel  390.65 kg, max miss    27973.7 km, median  11619.1, rho      182, acc a=0.16 (4.4 s)
[20:03:12]   it   9: fuel  385.82 kg, max miss    34925.1 km, median  13519.1, rho      128, acc a=0.32 (2.4 s)
[20:03:16]   it  10: fuel  381.86 kg, max miss    40673.9 km, median  13973.8, rho      191, acc a=0.21 (4.2 s)
[20:03:19]   it  11: fuel  376.54 kg, max miss    51095.4 km, median  14685.5, rho      134, acc a=0.42 (2.6 s)
[20:03:23]   it  12: fuel  372.20 kg, max miss    59794.7 km, median  14132.3, rho      201, acc a=0.28 (3.9 s)
[20:03:26]   it  13: fuel  366.55 kg, max miss    74762.2 km, median  12195.4, rho      141, acc a=0.56 (3.1 s)
[20:03:30]   it  14: fuel  362.42 kg, max miss    78243.2 km, median   8647.7, rho      211, acc a=0.33 (4.4 s)
[20:03:33]   it  15: fuel  357.08 kg, max miss    83203.4 km, median   3062.1, rho      148, acc a=0.67 (2.6 s)
