[20:09:58] start results/CTOC14_Result_TEAM.txt sc11: m0 720.16, fuel 115.81, flybys 9
[20:10:02]   it   0: fuel  114.56 kg, max miss     2729.6 km, median    408.0, rho      150, acc a=0.05 (3.1 s)
[20:10:03]   it   1: fuel  112.76 kg, max miss     7025.6 km, median    999.9, rho      105, acc a=0.10 (1.2 s)
[20:10:05]   it   2: fuel  111.23 kg, max miss    10815.8 km, median   1643.5, rho      158, acc a=0.07 (2.2 s)
[20:10:07]   it   3: fuel  109.01 kg, max miss    16427.2 km, median   2386.8, rho      110, acc a=0.13 (1.1 s)
[20:10:09]   it   4: fuel  107.17 kg, max miss    21574.5 km, median   3292.1, rho      165, acc a=0.09 (2.1 s)
[20:10:10]   it   5: fuel  104.50 kg, max miss    28557.4 km, median   4189.2, rho      116, acc a=0.18 (1.3 s)
[20:10:12]   it   6: fuel  102.32 kg, max miss    35216.5 km, median   5427.6, rho      174, acc a=0.12 (2.2 s)
[20:10:13]   it   7: fuel   99.21 kg, max miss    43065.3 km, median   6379.4, rho      122, acc a=0.24 (1.2 s)
[20:10:16]   it   8: fuel   96.73 kg, max miss    51077.3 km, median   8026.6, rho      182, acc a=0.16 (2.2 s)
[20:10:17]   it   9: fuel   93.24 kg, max miss    58274.1 km, median   8821.7, rho      128, acc a=0.32 (1.2 s)
[20:10:19]   it  10: fuel   90.56 kg, max miss    66897.2 km, median  10863.8, rho      191, acc a=0.21 (2.4 s)
[20:10:21]   it  11: fuel   86.90 kg, max miss    70295.4 km, median  10965.5, rho      134, acc a=0.42 (1.2 s)
[20:10:23]   it  12: fuel   84.19 kg, max miss    77444.5 km, median  12898.3, rho      201, acc a=0.28 (2.2 s)
[20:10:24]   it  13: fuel   80.70 kg, max miss    72254.2 km, median  11220.4, rho      141, acc a=0.56 (1.1 s)
[20:10:26]   it  14: fuel   78.55 kg, max miss    69792.4 km, median  11027.8, rho      211, acc a=0.33 (2.4 s)
[20:10:27]   it  15: fuel   75.88 kg, max miss    49873.0 km, median   6184.1, rho      148, acc a=0.67 (1.3 s)
[20:10:29]   it  16: fuel   71.87 kg, max miss    58562.8 km, median   8911.4, rho      103, acc a=1.00 (1.1 s)
[20:10:30]   it  17: fuel   68.50 kg, max miss    54476.7 km, median  10025.2, rho     72.4, acc a=1.00 (1.2 s)
[20:10:31]   it  18: fuel   65.90 kg, max miss    15546.3 km, median   2774.3, rho     50.7, acc a=1.00 (1.2 s)
[20:10:34]   it  19: fuel   65.23 kg, max miss    10816.3 km, median   2114.9, rho       76, acc a=0.33 (2.5 s)
[20:10:35]   it  20: fuel   64.38 kg, max miss     8015.5 km, median   2455.7, rho     53.2, acc a=0.67 (1.2 s)
[20:10:37]   it  21: fuel   63.97 kg, max miss     6636.0 km, median   2914.0, rho     79.8, acc a=0.33 (2.1 s)
[20:10:38]   it  22: fuel   63.43 kg, max miss     4916.9 km, median   3033.5, rho     55.9, acc a=0.67 (1.1 s)
[20:10:40]   it  23: fuel   63.18 kg, max miss     4446.7 km, median   2629.9, rho     83.8, acc a=0.33 (2.1 s)
[20:10:41]   it  24: fuel   62.84 kg, max miss     3890.3 km, median   2134.4, rho     58.7, acc a=0.67 (1.1 s)
[20:10:43]   it  25: fuel   62.67 kg, max miss     3395.5 km, median   1827.2, rho       88, acc a=0.33 (2.1 s)
[20:10:45]   it  26: fuel   62.44 kg, max miss     2715.5 km, median   1417.2, rho     61.6, acc a=0.67 (1.2 s)
[20:10:47]   it  27: fuel   62.33 kg, max miss     2348.9 km, median   1215.0, rho     92.4, acc a=0.33 (2.3 s)
[20:10:48]   it  28: fuel   62.17 kg, max miss     1805.5 km, median    927.9, rho     64.7, acc a=0.67 (1.2 s)
[20:10:50]   it  29: fuel   62.09 kg, max miss     1548.5 km, median    793.8, rho       97, acc a=0.33 (2.3 s)
[20:10:52]   it  30: fuel   61.97 kg, max miss     1155.4 km, median    597.7, rho     67.9, acc a=0.67 (1.3 s)
[20:10:53]   it  31: fuel   61.78 kg, max miss     2060.0 km, median   1057.8, rho     47.5, acc a=1.00 (1.2 s)
[20:10:54]   it  32: fuel   61.60 kg, max miss     2343.0 km, median   1209.6, rho     33.3, acc a=1.00 (1.3 s)
[20:10:56]   it  33: fuel   61.44 kg, max miss     2214.3 km, median   1185.8, rho     23.3, acc a=1.00 (1.5 s)
[20:10:57]   it  34: fuel   61.29 kg, max miss     1624.0 km, median    953.4, rho     16.3, acc a=1.00 (1.3 s)
[20:10:58]   it  35: fuel   61.16 kg, max miss      982.8 km, median    572.0, rho     11.4, acc a=1.00 (1.1 s)
[20:10:59]   it  36: fuel   61.05 kg, max miss      702.1 km, median    221.6, rho     7.99, acc a=1.00 (1.2 s)
