[20:09:35] start results/CTOC14_Result_TEAM.txt sc10: m0 831.76, fuel 226.53, flybys 23
[20:09:45]   it   0: fuel  225.14 kg, max miss     3156.6 km, median    734.5, rho      150, acc a=0.05 (7.2 s)
[20:09:49]   it   1: fuel  224.46 kg, max miss     3830.4 km, median    898.0, rho      225, acc a=0.03 (4.9 s)
[20:09:52]   it   2: fuel  223.48 kg, max miss     5361.7 km, median   1274.3, rho      158, acc a=0.07 (2.8 s)
[20:09:58]   it   3: fuel  222.62 kg, max miss     6413.5 km, median   1536.4, rho      236, acc a=0.04 (5.5 s)
[20:10:01]   it   4: fuel  221.40 kg, max miss     8675.5 km, median   2111.9, rho      165, acc a=0.09 (2.9 s)
[20:10:06]   it   5: fuel  220.34 kg, max miss    10238.0 km, median   2518.7, rho      248, acc a=0.06 (5.0 s)
[20:10:08]   it   6: fuel  218.83 kg, max miss    13621.8 km, median   3423.6, rho      174, acc a=0.12 (2.7 s)
[20:10:13]   it   7: fuel  217.53 kg, max miss    15840.8 km, median   4033.0, rho      260, acc a=0.08 (5.1 s)
[20:10:19]   it   8: fuel  216.91 kg, max miss    15820.5 km, median   4039.8, rho      391, acc a=0.05 (5.1 s)
[20:10:21]   it   9: fuel  216.05 kg, max miss    15946.7 km, median   4100.5, rho      273, acc a=0.11 (2.7 s)
[20:10:27]   it  10: fuel  215.29 kg, max miss    16141.6 km, median   4176.2, rho      410, acc a=0.07 (5.3 s)
[20:10:29]   it  11: fuel  214.23 kg, max miss    16820.8 km, median   4412.5, rho      287, acc a=0.14 (2.8 s)
[20:10:35]   it  12: fuel  213.28 kg, max miss    17411.5 km, median   4619.2, rho      431, acc a=0.09 (5.6 s)
[20:10:38]   it  13: fuel  211.98 kg, max miss    19088.8 km, median   5184.7, rho      302, acc a=0.19 (2.7 s)
[20:10:43]   it  14: fuel  210.83 kg, max miss    20276.0 km, median   5606.0, rho      452, acc a=0.12 (5.0 s)
[20:10:45]   it  15: fuel  209.25 kg, max miss    23451.1 km, median   6720.8, rho      317, acc a=0.25 (2.8 s)
[20:10:50]   it  16: fuel  207.88 kg, max miss    25246.9 km, median   7433.5, rho      475, acc a=0.17 (5.0 s)
[20:10:56]   it  17: fuel  207.25 kg, max miss    23821.5 km, median   7059.7, rho      712, acc a=0.11 (5.4 s)
[20:10:59]   it  18: fuel  206.40 kg, max miss    21604.5 km, median   6531.0, rho      499, acc a=0.22 (2.7 s)
[20:11:04]   it  19: fuel  205.63 kg, max miss    20424.2 km, median   6296.9, rho      748, acc a=0.15 (5.0 s)
[20:11:06]   it  20: fuel  204.59 kg, max miss    18447.1 km, median   6032.2, rho      524, acc a=0.30 (2.8 s)
[20:11:11]   it  21: fuel  203.67 kg, max miss    17305.3 km, median   5918.4, rho      785, acc a=0.20 (4.9 s)
[20:11:14]   it  22: fuel  202.44 kg, max miss    14888.4 km, median   5776.6, rho      550, acc a=0.39 (3.1 s)
[20:11:20]   it  23: fuel  201.35 kg, max miss    14160.3 km, median   5741.0, rho      825, acc a=0.26 (5.2 s)
[20:11:22]   it  24: fuel  199.90 kg, max miss    12846.3 km, median   5596.4, rho      577, acc a=0.53 (2.7 s)
[20:11:28]   it  25: fuel  198.70 kg, max miss    12474.7 km, median   5530.8, rho      866, acc a=0.33 (6.0 s)
[20:11:31]   it  26: fuel  197.13 kg, max miss    11173.6 km, median   5263.8, rho      606, acc a=0.67 (2.9 s)
[20:11:36]   it  27: fuel  196.10 kg, max miss    10348.1 km, median   4882.5, rho      909, acc a=0.33 (5.0 s)
[20:11:39]   it  28: fuel  194.75 kg, max miss     8645.3 km, median   4187.6, rho      636, acc a=0.67 (2.7 s)
[20:11:44]   it  29: fuel  193.86 kg, max miss     8026.0 km, median   3916.1, rho      955, acc a=0.33 (4.8 s)
[20:11:46]   it  30: fuel  192.69 kg, max miss     6725.9 km, median   2837.4, rho      668, acc a=0.67 (2.7 s)
[20:11:51]   it  31: fuel  191.92 kg, max miss     6292.0 km, median   2722.9, rho    1e+03, acc a=0.33 (4.8 s)
[20:11:54]   it  32: fuel  190.89 kg, max miss     5361.0 km, median   2064.1, rho      702, acc a=0.67 (3.0 s)
[20:11:59]   it  33: fuel  190.21 kg, max miss     5046.5 km, median   2014.6, rho 1.05e+03, acc a=0.33 (5.2 s)
[20:12:02]   it  34: fuel  189.30 kg, max miss     4354.1 km, median   1603.8, rho      737, acc a=0.67 (2.9 s)
[20:12:07]   it  35: fuel  188.70 kg, max miss     4103.5 km, median   1563.0, rho 1.11e+03, acc a=0.33 (4.9 s)
[20:12:10]   it  36: fuel  187.89 kg, max miss     3556.5 km, median   1264.8, rho      774, acc a=0.67 (2.5 s)
[20:12:14]   it  37: fuel  187.35 kg, max miss     3371.9 km, median   1258.7, rho 1.16e+03, acc a=0.33 (4.6 s)
[20:12:17]   it  38: fuel  186.64 kg, max miss     2926.8 km, median   1027.9, rho      812, acc a=0.67 (2.4 s)
[20:12:21]   it  39: fuel  186.15 kg, max miss     2775.4 km, median   1018.6, rho 1.22e+03, acc a=0.33 (4.5 s)
