id,node,t_mjd,date,t_s,r_au,lon_deg,x_au,y_au,z_km,d_earth_au,v_rel_earth_kms,vz_kms,inc_deg,in_band
54,desc,62502.1729073,2030-01-01,14939.1921026,1.50254038139,198.12085,-1.42801830488,-0.467323569498,-5.43892383575e-07,1.93765869323,35.2881043895,-6.64861757243,17.99169,True
297,desc,62502.3996052,2030-01-01,34525.8919241,0.431221678467,261.11844,-0.066577356149,-0.42605116081,3.92529182136e-06,1.40160922466,81.150914186,-21.9274420732,24.30945,False
288,desc,62503.4761858,2030-01-02,127542.451015,1.80177618752,263.16315,-0.214488073951,-1.78896402872,-9.685754776e-08,2.76052578543,49.0485148273,-3.0396588119,9.33904,False
95,desc,62505.0245004,2030-01-04,261316.838661,0.21347320718,8.12971,0.211327900088,0.0301882233342,-3.55904921889e-06,1.01556865202,84.1320522034,-14.2326970663,9.90138,False
221,asc,62505.1787231,2030-01-04,274641.675249,2.82347092801,285.28603,0.744373836977,-2.72358140545,-9.77888703346e-09,3.80464126936,43.2438228561,0.377744821955,1.67978,False
222,asc,62506.2849467,2030-01-05,370219.398498,0.875058528711,288.01435,0.270616383945,-0.832162364812,-2.49594449997e-07,1.85583410724,62.3903493247,12.136436152,21.61632,True
259,asc,62510.8615157,2030-01-09,765634.955187,1.49068794209,14.76716,1.44144998666,0.379963783367,-1.63912773132e-07,1.81261763395,25.7664278214,3.21890244914,8.34621,True
136,desc,62511.7727366,2030-01-10,844364.443547,1.16905146814,110.33711,-0.406295703052,1.09617751155,-1.63167715073e-06,0.192695944431,12.3916867092,-10.9042191164,24.09941,True
60,desc,62512.6769832,2030-01-11,922491.351645,0.202180935107,64.89558,0.0857791598236,0.183082129823,1.23316422105e-05,0.848548775682,71.1371375029,-53.7564725967,38.87863,False
66,asc,62515.7008196,2030-01-14,1183750.81528,1.42160351902,116.51175,-0.634577274459,1.2721117278,3.93763184547e-06,0.449721951212,25.9558808801,14.4292109042,38.56598,True
49,desc,62515.8173355,2030-01-14,1193817.78441,1.15710856194,267.94857,-0.041420504385,-1.15636696854,-9.685754776e-08,2.09510442055,43.1603214416,-5.82259319887,22.80162,True
7,desc,62518.2406621,2030-01-17,1403193.20739,3.11403490945,199.88008,-2.92845838918,-1.05893572993,9.12696123123e-07,3.19470589567,30.7908340762,-8.20159155781,43.64693,False
293,asc,62518.794903,2030-01-17,1451079.62223,0.249352319236,51.88447,0.153912507329,0.196182362093,-5.95697201788e-07,0.897762163102,80.7068626325,3.09312853961,2.35416,False
21,asc,62521.1399605,2030-01-20,1653692.5888,1.66360731202,311.6149,1.10483598293,-1.24375509625,-6.5378844738e-07,2.62771251655,48.9330595125,2.40496944717,7.13333,False
83,desc,62522.3911088,2030-01-21,1761791.79902,0.314292058936,335.74474,0.286547718105,-0.129111980694,-6.08153641224e-06,1.24844228558,88.1036682481,-29.0632826163,26.45905,False
106,desc,62522.9399989,2030-01-21,1809215.90343,1.04971497093,10.01269,1.03372704444,0.182510048471,-2.45869159698e-06,1.65556193419,46.6529293839,-20.8974635197,40.78349,True
35,desc,62523.1348959,2030-01-22,1826055.00349,1.00999867392,218.30847,-0.792530547253,-0.626093166383,-4.3329782784e-06,1.51802684121,39.6254892877,-20.6621130782,44.05781,True
187,asc,62523.2673884,2030-01-22,1837502.36078,4.12494675298,80.57269,0.675650573302,4.06923604842,5.3271651268e-07,3.41318547708,26.0526882094,2.15363664262,13.3569,False
10,desc,62523.8259967,2030-01-22,1885766.11168,1.00031431564,176.78899,-0.998743841213,0.0560309709646,-5.12506812811e-06,0.94584694081,49.0441445343,-19.3030697769,39.82206,True
43,asc,62523.946194,2030-01-22,1896151.16523,1.15282412624,135.99028,-0.829136409133,0.800959600164,5.17815351486e-07,0.34122248525,32.3117124989,4.88868943031,11.62102,True
145,asc,62524.4843387,2030-01-23,1942646.8604,1.92477615493,61.2066,0.927073685087,1.68680100457,1.30385160446e-06,1.65547274741,36.1393413368,4.71130977728,15.15631,False
46,desc,62525.1612334,2030-01-24,2001130.56838,1.0343018277,262.01076,-0.143754641252,-1.02426308822,-1.75833702087e-06,1.90152838065,63.826139802,-8.37875906824,13.53118,True
223,asc,62525.3135634,2030-01-24,2014291.88054,0.616222761718,141.43021,-0.481793342905,0.384194829211,-1.25635415316e-06,0.45709417053,22.2133495803,8.14804090966,10.89224,False
112,desc,62528.4754509,2030-01-27,2287478.95577,0.999106012836,180.98343,-0.998958845118,-0.0171479049771,1.57207250595e-06,0.937285337412,33.6820450021,-26.9632522409,62.10129,True
229,asc,62530.3611494,2030-01-29,2450403.30537,0.99013462152,39.09556,0.768438803808,0.624394405432,-2.57417559624e-06,1.36460557044,38.1206550217,12.8157788281,24.832,True
