[02:46:25] skeletons: 8 routes, covered 263, J 47.2068; 01:48@1048 03:42@993 02:39@1039 04:36@930 05:34@881 06:26@836 07:23@848 08:15@699
[02:46:37]     03 seg 1: 1 states reach waypoint 277 -- relaxed retry
[02:46:38]     03 seg 1: 2 states reach waypoint 277 -- giving up
[02:46:38]     03 seg 2: 2 states reach waypoint 291 -- relaxed retry
[02:46:38]     03 seg 2: 4 states reach waypoint 291 -- giving up
[02:46:38]     03 seg 3: 2 states reach waypoint 111 -- relaxed retry
[02:46:39]     03 seg 4: 2 states reach waypoint 63 -- relaxed retry
[02:46:40]     03 seg 4: 4 states reach waypoint 63 -- giving up
[02:46:40]     03 seg 5: 4 states reach waypoint 126 -- relaxed retry
[02:46:41]     03 seg 6: 3 states reach waypoint 52 -- relaxed retry
[02:46:41]     03 seg 7: 3 states reach waypoint 14 -- relaxed retry
[02:46:42]     03 seg 8: 1 states reach waypoint 253 -- relaxed retry
[02:46:43]     03 seg 8: 2 states reach waypoint 253 -- giving up
[02:46:43]     03 seg 9: 0 states reach waypoint 78 -- relaxed retry
[02:46:43]     03 seg 9: 0 states reach waypoint 78 -- giving up
[02:46:43]     03 seg 9: DROPPING waypoint 78
[02:46:43]     03 seg 10: 2 states reach waypoint 275 -- relaxed retry
[02:46:44]     03 seg 11: 3 states reach waypoint 278 -- relaxed retry
[02:46:45]     03 seg 12: 4 states reach waypoint 215 -- relaxed retry
[02:46:45]     03 seg 13: 3 states reach waypoint 28 -- relaxed retry
[02:46:46]     03 seg 14: 1 states reach waypoint 232 -- relaxed retry
[02:46:47]     03 seg 14: 3 states reach waypoint 232 -- giving up
[02:46:47]     03 seg 15: 3 states reach waypoint 153 -- relaxed retry
[02:46:48]     03 seg 16: 2 states reach waypoint 194 -- relaxed retry
[02:46:49]     03 seg 17: 3 states reach waypoint 284 -- relaxed retry
[02:46:50]     03 seg 18: 4 states reach waypoint 221 -- relaxed retry
[02:46:51]     03 seg 19: 4 states reach waypoint 50 -- relaxed retry
[02:46:52]     03 seg 21: 4 states reach waypoint 100 -- relaxed retry
[02:46:53]     03 seg 22: 2 states reach waypoint 36 -- relaxed retry
[02:46:54]     03 seg 23: 1 states reach waypoint 164 -- relaxed retry
[02:46:55]     03 seg 24: 1 states reach waypoint 112 -- relaxed retry
[02:46:56]     03 seg 24: 3 states reach waypoint 112 -- giving up
[02:46:56]     03 seg 26: 2 states reach waypoint 202 -- relaxed retry
[02:46:57]     03 seg 26: 4 states reach waypoint 202 -- giving up
[02:46:57]     03 seg 27: 4 states reach waypoint 146 -- relaxed retry
[02:46:58]     03 seg 28: 4 states reach waypoint 142 -- relaxed retry
[02:46:59]     03 seg 30: 2 states reach waypoint 105 -- relaxed retry
[02:46:59]     03 seg 30: 4 states reach waypoint 105 -- giving up
[02:47:00]     03 seg 31: 4 states reach waypoint 184 -- relaxed retry
[02:47:00]     03 seg 32: 3 states reach waypoint 108 -- relaxed retry
[02:47:01]     03 seg 33: 4 states reach waypoint 195 -- relaxed retry
[02:47:02]     03 seg 35: 2 states reach waypoint 120 -- relaxed retry
[02:47:03]     03 seg 35: 4 states reach waypoint 120 -- giving up
[02:47:03]     03 seg 36: 0 states reach waypoint 166 -- relaxed retry
[02:47:03]     03 seg 36: 0 states reach waypoint 166 -- giving up
[02:47:03]     03 seg 36: DROPPING waypoint 166
[02:47:03]     03 seg 37: 0 states reach waypoint 61 -- relaxed retry
[02:47:03]     03 seg 37: 0 states reach waypoint 61 -- giving up
[02:47:03]     03 seg 37: DROPPING waypoint 61
[02:47:03]     03 seg 38: 0 states reach waypoint 163 -- relaxed retry
